"","merge","lng","lat","population"
"188","Kongala, srilanka","80.61667","6.08333","0"
"189","Konwewa, srilanka","80.4011","8.1713","0"
"190","Kopai, srilanka","80.0465","9.695","0"
"191","Kor, sudan","4.60139","52.13333","0"
"192","Koszelowka, poland","19.70046","52.43812","0"
"193","Kotahena, srilanka","80.5456","7.5951","0"
"194","Kottegoda, srilanka","80.6371","7.5246","0"
"195","Kubutare, rwanda","29.7171","-2.6263","0"
"196","Kudal, philippines","124.7175","7.02056","0"
"197","Kulambugan, philippines","124.78333","6.7","0"
"198","Kunchikulam, srilanka","80.5211","8.0928","0"
"199","Kurana, srilanka","79.867","7.1734","0"
"200","Laantabuur, somalia","45.0416","2.0416","0"
"201","Laggala, srilanka","80.2543","8.2448","0"
"202","Lahing-Lahing, philippines","122.48361","7.56639","0"
"203","Lahugala, srilanka","81.3","7.4","0"
"204","Lana, philippines","120.61079","15.09503","0"
"205","La Rioja, spain","-2.45","42.46667","152107"
"206","Lazkao, spain","-2.14883","43.02384","0"
"207","Lefeu, senegal","-16.13333","13.03333","0"
"208","Lenawa, srilanka","80.73444","7.89889","0"
"209","Lerida, spain","0.62218","41.61674","135919"
"210","Liang, philippines","120.4347","17.3215","0"
"211","Limbayan, philippines","124.02806","7.29694","0"
"212","Lisani, serbia","20.44668","43.74432","5"
"213","Lizarza, spain","-2.03489","43.10236","0"
"214","Loay, philippines","124.0142","9.6006","0"
"215","Luyando, spain","-2.99729","43.1016","0"
"216","Macasing, philippines","123.3556","7.8731","0"
"217","Madu, sudan","24.37155","12.88244","0"
"218","Madugastalawa, srilanka","81.1208","7.0146","0"
"219","Magalla, srilanka","80.2333","6.0347","0"
"220","Maganda, philippines","120.9693","5.9114","0"
"221","Magar, somalia","41.8346","0.6656","0"
"222","Magdum, philippines","125.8428","7.474","0"
"223","Maha Oya, srilanka","81.35","7.53333","0"
"224","Mahas, somalia","46.08817","4.39339","0"
"225","Mahiyangana, srilanka","80.98333","7.31667","0"
"226","Mamaduwa, srilanka","80.5377","8.81","0"
"227","Mampalago, senegal","-15.99639","12.92139","0"
"228","Manabuan, philippines","124.7","7.38333","0"
"229","Mangalagama, srilanka","80.5656","7.2844","0"
"230","Manghinao, philippines","120.99484","13.79549","0"
"231","Maradana, srilanka","79.8665","6.9271","0"
"232","Maragang, philippines","123.3118","7.8301","0"
"233","Mariquet, philippines","120.78333","18.1","0"
"234","Masnou, spain","2.3188","41.47978","22288"
"235","Mavadivembu, srilanka","81.5612","7.8147","0"
"236","Maxaas, somalia","46.08817","4.39339","0"
"237","Medvedja, serbia","21.07572","43.6307","4"
"238","Meegahatenna, srilanka","80.1971","6.4394","0"
"239","Menawashei, sudan","24.98333","12.66667","0"
"240","Menikhinna, srilanka","80.6995","7.3184","0"
"241","Merka, somalia","44.77166","1.71594","230100"
"242","Miguel, philippines","120.97568","15.1423","65661"
"243","Milaviga, philippines","124.1365","13.8719","0"
"244","Minneriya, srilanka","80.9","8.03333","0"
"245","Modera, srilanka","80.1289","6.1114","0"
"246","Montjuic, spain","2.1546","41.37263","177636"
"247","Moragollagama, srilanka","80.4208","7.907","0"
"248","Muhovac, serbia","21.75423","42.56962","0"
"249","Mulig, philippines","125.47306","7.06778","0"
"250","Mulkirigala, srilanka","80.7305","6.1315","0"
"251","Mundaca, spain","-2.69852","43.40804","0"
"252","Murnei, sudan","22.86667","12.95","0"
"253","Mutura, rwanda","29.3577","-1.6544","0"
"254","Nabundas, philippines","124.50583","6.87972","0"
"255","Nagarkovil, srilanka","80.3093","9.7008","0"
"256","Nagoda, srilanka","80.1258","7.1002","0"
"257","Nainamadu, srilanka","80.596","9.0293","0"
"258","Narahenpita, srilanka","79.8757","6.8928","0"
"259","Naula, srilanka","80.65417","7.70472","0"
"260","Navalady, srilanka","81.7045","7.7387","0"
"261","Nawagamuwa, srilanka","80.3138","7.2647","0"
"262","Nawala, srilanka","79.8757","6.8928","0"
"263","Nikawewa, srilanka","80.9875","8.6229","0"
"264","Nimalawa, srilanka","80.45","6.05","0"
"265","Nintavur, srilanka","81.85304","7.34976","0"
"266","Nkumba, rwanda","29.6964","-1.4548","0"
"267","Nochchiyagama, srilanka","80.2044","8.2631","0"
"268","Nunungan, philippines","121.71667","16.9","0"
"269","Nyabisindu, rwanda","29.66958","-2.34162","0"
"270","Nyakinama, rwanda","29.6304","-1.5614","0"
"271","Nyamata, rwanda","30.14494","-2.20419","0"
"272","Nyamugali, rwanda","30.0408","-1.9255","0"
"273","Nyarutovu, rwanda","29.77516","-1.64725","0"
"274","Ochagavia, spain","-1.09112","42.90543","646"
"275","Oddaimavadi, srilanka","81.51667","7.91667","0"
"276","Oddusuddan, srilanka","80.6526","9.1513","0"
"277","Oiartzun, spain","-1.80427","43.31585","0"
"278","Okondo, spain","-3.03357","43.17974","0"
"279","Omantai, srilanka","80.4992","8.8644","0"
"280","Oraovica, serbia","22.06934","42.87835","0"
"281","Ormaiztegui, spain","-2.25673","43.04339","0"
"282","Orozko, spain","-2.84475","43.08838","0"
"283","Oruwela, srilanka","79.9963","6.8903","0"
"284","Pachchanur, srilanka","81.26667","8.4","0"
"285","Padalangala, srilanka","80.9022","6.2675","0"
"286","Pahala, srilanka","80.1047","7.3279","0"
"287","Pahala Naragala, srilanka","80.1139","6.6843","0"
"288","Palaimoddai, srilanka","80.4136","8.9125","0"
"289","Palali, srilanka","80.08333","9.8","0"
"290","Pallebage, srilanka","80.3942","6.9782","0"
"291","Pamunugama, srilanka","79.84806","7.10056","0"
"292","Pandisurichchan, srilanka","80.3023","8.769","0"
"293","Panichankerni, srilanka","81.45","8.1","0"
"294","Paniran, philippines","121.98611","7.25167","0"
"295","Pannalagama, srilanka","81.6065","7.0724","0"
"296","Pannipitiya, srilanka","79.9448","6.8462","0"
"297","Pantikian, philippines","121.1605","17.4956","0"
"298","Parets, spain","2.23306","41.57481","17632"
"299","Pasajes de San Juan, spain","-1.91601","43.32504","0"
"300","Peradeniya, srilanka","80.5841","7.2622","0"
"301","Perbes, spain","-8.21667","43.38333","0"
"302","Pesa, philippines","121.18526","15.64835","0"
"303","Piagapo, philippines","124.11667","8.08333","0"
"304","Pilimatalawa, srilanka","80.5441","7.2689","0"
"305","Pinamanaan, philippines","123.6","12.91667","0"
"306","Plencia, spain","-2.94794","43.4053","0"
"307","Poddala, srilanka","80.2105","6.112","0"
"308","Pointe Saint Georges, senegal","-16.55861","12.62833","0"
"309","Polgahawela, srilanka","80.3003","7.3381","0"
"310","Polhengoda, srilanka","79.8778","6.8849","0"
"311","Pood, philippines","123.51667","13.1","0"
"312","Pothuhera, srilanka","80.3303","7.4214","0"
"313","Prat de Llobregat, spain","2.09472","41.32784","63418"
"314","Puerto De La Luz, spain","-6.76674","37.29444","0"
"315","Pujapitiya, srilanka","80.586","7.3742","0"
"316","Puliyankulam, srilanka","80.5404","8.9584","0"
"317","Pullumalai, srilanka","81.4446","7.5827","0"
"318","Punewa, srilanka","80.4715","8.6113","0"
"319","Pungtod, philippines","125.5655","9.5278","0"
"320","Pungudutivu, srilanka","79.81667","9.6","0"
"321","Puthukkudiyiruppu, srilanka","80.6946","9.3106","0"
"322","Putumattalan, srilanka","80.7241","9.3575","0"
"323","Puwakpitiya, srilanka","80.56667","7.76667","0"
"324","Qooqaani, somalia","41.7141","0.2837","0"
"325","Quibaol, philippines","120.24074","16.00672","0"
"326","Quracley, somalia","45.5732","3.7376","0"
"327","Qurayd, sudan","31.77931","10.78212","0"
"328","Rajah Buayan, philippines","125.17167","6.11278","679588"
"329","Ramba, rwanda","29.9104","-2.4968","0"
"330","Rambewa, srilanka","80.75","8.2","0"
"331","Rambukpotha, srilanka","81.0821","6.9883","0"
"332","Rattota, srilanka","80.6798","7.5205","0"
"333","Razamonde, spain","-8.05268","42.33155","0"
"334","Remera, rwanda","30.5529","-2.0679","0"
"335","Roldan, spain","-1.9075","36.94262","0"
"336","Rubavu, rwanda","29.3025","-1.6894","0"
"337","Rueda De Jalon, spain","-1.2744","41.63362","356"
"338","Rufisque, senegal","-17.26473","14.71164","0"
"339","Rugama, srilanka","81.4905","7.666","0"
"340","Rugango, rwanda","29.7051","-2.5474","0"
"341","Rusumo, rwanda","30.6767","-2.2705","0"
"342","Rutagara, rwanda","29.5051","-1.5437","0"
"343","Ruyenzi, rwanda","29.8303","-2.4234","0"
"344","Rwamiko, rwanda","29.9023","-2.6556","0"
"345","Rwaza, rwanda","29.6862","-1.5439","0"
"346","Sabangan, philippines","120.8945","17.547","0"
"347","Salawag, philippines","120.98456","14.35885","0"
"348","Sambaltivu, srilanka","81.2127","8.6263","0"
"349","San Clemente De Llobregat, spain","2","41.33333","0"
"350","San Quirico De Tarrasa, spain","2.08333","41.53333","18462"
"351","Santa Coloma de Farnes, spain","2.66667","41.86667","11739"
"352","Santa Cristina de Aro, spain","2.96246","41.81495","0"
"353","Santa Mesa, philippines","121.0151","14.601","0"
"354","Santillana del Mar, spain","-4.10844","43.38903","4042"
"355","Sao Marcos, portugal","-8.40965","37.40746","0"
"356","Saranay, philippines","121.76667","17.93333","0"
"357","Sare Ndiaye, senegal","-14.95","12.68333","0"
"358","Save, rwanda","29.7711","-2.5427","0"
"359","Seixal, portugal","-9.11557","38.62961","52577"
"360","Seleti, senegal","-16.58333","13.15","0"
"361","Seruwawila, srilanka","81.3173","8.3684","0"
"362","Shingil Tobaya, sudan","25.25","13.01667","0"
"363","Shukkaba, sudan","31.8261","12.925","0"
"364","Sinungtan, philippines","123.5308","13.1226","0"
"365","Sodupe, spain","-3.04769","43.20447","0"
"366","Solares, spain","-5.39755","43.46046","0"
"367","Somosaguas, spain","-3.79475","40.42441","0"
"368","Songco, philippines","125.435","11.61583","0"
"369","Sta Cruz, philippines","124.073","9.911","0"
"370","Tabataa, somalia","42.42988","0.04893","0"
"371","Tagbaros, philippines","126.0113","7.3996","0"
"372","Tamil, srilanka","81.5283","7.8992","0"
"373","Tandikkulam, srilanka","80.4957","8.7783","0"
"374","Taraka, philippines","124.34722","7.88833","0"
"375","Teldeniya, srilanka","80.76861","7.29694","0"
"376","T. Elizaga, philippines","121.85238","18.02068","0"
"377","Tellipallai, srilanka","80.0304","9.7875","0"
"378","Thaddankulam, srilanka","80.3333","8.7034","0"
"379","Thoppu, srilanka","80.1","9.76667","0"
"380","Tininghalang, philippines","123.186","7.6576","0"
"381","Tinoc, philippines","120.9","16.7","0"
"382","Tiptipon, philippines","121.16639","5.99694","0"
"383","Tirappane, srilanka","80.58333","8.3","0"
"384","Tirrukkovil, srilanka","81.85","7.1","0"
"385","Tirukkovil, srilanka","80.48333","8.78333","0"
"386","Toclong, philippines","120.92468","14.44229","0"
"387","Tubac, philippines","124.05083","7.35694","0"
"388","Tubungan, philippines","121.54215","18.06649","0"
"389","Tug Wajale, somalia","43.33306","9.59639","0"
"390","Tumba, rwanda","29.738","-2.6297","0"
"391","Ulandang, philippines","124.49389","7.03861","0"
"392","Ulapane, srilanka","80.5572","7.1031","0"
"393","Umagos, philippines","124.81639","8.80806","0"
"394","Upparu, srilanka","80.4676","9.466","0"
"395","Urduliz, spain","-2.95","43.38333","3190"
"396","Urkut, somalia","42.77029","3.51899","0"
"397","Urubokka, srilanka","80.6312","6.3041","0"
"398","Uyilankulam, srilanka","80.26667","9.18333","0"
"399","Vadamunai, srilanka","81.28333","7.9","0"
"400","Vakaneri, srilanka","81.43333","7.91667","0"
"401","Valaichenai, srilanka","81.75","7.58333","0"
"402","Valmaseda, spain","-3.2","43.2","0"
"403","Varani, srilanka","80.21667","9.75","0"
"404","Vasavilan, srilanka","80.06667","9.78333","0"
"405","Veeramunai, srilanka","81.8","7.36667","0"
"406","Vellai, srilanka","81.25","8.25","0"
"407","Ventas, spain","-4.28418","39.63954","2978"
"408","Veppankulam, srilanka","80","8.93333","0"
"409","Vera De Bidasoa, spain","-1.68632","43.28177","3685"
"410","Villafranca Del Panades, spain","1.7","41.35","38425"
"411","Villagarcia De Arosa, spain","-8.76426","42.59631","37576"
"412","Villajimena, spain","-4.43404","42.08517","0"
"413","Villarreal, spain","-1.28983","41.19034","197"
"414","Villarreal De Alava, spain","-2.6465","42.94436","0"
"415","Villa Sur, philippines","123.44111","7.68417","0"
"416","Wabxo, somalia","46.28265","4.51364","0"
"417","Wadduwa, srilanka","79.93333","6.68333","0"
"418","Walled City, philippines","121","6.05","0"
"419","Wanni, srilanka","80.1559","8.0383","0"
"420","Warni, sudan","31.17315","10.3974","0"
"421","Welimada, srilanka","80.9044","6.9044","0"
"422","Yakkala, srilanka","80.0271","7.0869","0"
"423","Yala, srilanka","81.51761","6.36747","0"
"424","Zaldivia, spain","-2.1506","43.0372","0"
"425","Zaramillo, spain","-3.01667","43.23333","0"
"426","Zillovia, philippines","125.74444","8.44528","0"
"427","Zurbano, spain","-2.61809","42.87066","0"
