"","name","DistKM","fake","long","lat.x","lon","lat.y","CityGTD"
"1607","manglaur",32.9745519991612,1,77.866667,29.8,78.1642478,29.9456906,"hardwar"
"1608","mangrol",15.9107693897842,1,70.12,21.12,70.2624109,21.0671856,"khera"
"1609","mangrulpir",29.5402540301884,1,77.35,20.316667,77.6221091,20.2440303,"karli"
"1610","manihari",22.0771161980567,1,87.633333,25.35,87.6186379,25.5488415,"katihardistrict"
"1611","manikpur",26.2538838332734,1,81.116667,25.066667,81.25326,25.2684514,"laudara"
"1612","manjeshwar",16.4061363132379,1,74.883333,12.7,74.8887224,12.8482049,"bajala"
"1613","manjhanpur",13.3082232158375,1,81.383333,25.533333,81.3701881,25.6528702,"karisari"
"1614","mankachar",16.5477232318981,1,89.866667,25.533333,89.9545289,25.407034,"rakhaldubi"
"1615","mankapur",30.3294643179821,1,82.233333,27.033333,82.15,26.77,"rauzabad"
"1616","manmad",29.6202413737252,1,74.43,20.26,74.6861497,20.3748736,"panzan"
"1617","mannarakkat",25.9418213795729,1,76.466667,10.983333,76.2710833,10.8505159,"burala"
"1618","mannarakkat",25.9418213795729,1,76.466667,10.983333,76.2710833,10.8505159,"kerala"
"1619","mannargudi",32.206168414233,1,79.45,10.67,79.3834088,10.9536193,"koilamati"
"1620","manoharpur",19.3105686371651,1,85.2,22.383333,85.3058664,22.239433,"chhotanagra"
"1621","manoharthana",44.3722716130817,1,76.8,24.233333,76.782702,24.6336199,"dohni"
"1622","manor",34.8951013723094,1,72.916667,19.75,72.81744,19.449129,"cheemapat"
"1623","manpur",40.4973916133074,1,75.616667,22.433333,75.7669461,22.7713701,"budhaniya"
"1624","mansa",1.93941311373848,1,75.39,29.98,75.4100516,29.9788343,"ofmansa"
"1625","manthani",22.9765261974176,1,79.666667,18.65,79.4816378,18.7595503,"ramaguda"
"1626","manvi",33.2480339616759,1,77.05,15.983333,76.8201976,16.1855905,"hira"
"1627","manwath",96.4639620451217,1,76.5,19.3,75.7138884,19.7514798,"maharashtra"
"1628","marakkanam",54.3370818189001,1,79.95,12.2,79.75,11.75,"cuddalore"
"1629","marandahalli",37.8136470180885,1,78,12.4,78.1877922,12.1123723,"annasagaram"
"1630","margherita",5.5314000291715,1,95.683333,27.283333,95.7378808,27.2941392,"ledo"
"1631","marhaura",21.821798514614,1,84.866667,25.966667,85.080556,26.004444,"vaishali"
"1632","mariahu",14.0351224761514,1,82.616667,25.616667,82.5158778,25.7044526,"raiya"
"1633","mariani",14.5752972351569,1,94.333333,26.666667,94.22,26.75,"jornat"
"1634","markapur",53.2722823796688,1,79.28,15.73,79.7399875,15.9128998,"andhrapradesh"
"1635","markapur",53.2722823796688,1,79.28,15.73,79.7399875,15.9128998,"andhrapradeshs"
"1636","masinigudi",26.299032833233,1,76.666667,11.566667,76.6822375,11.3294173,"baramuladistrict"
"1637","masinigudi",26.299032833233,1,76.666667,11.566667,76.6822375,11.3294173,"baramulladistrict"
"1638","masuri",14.8984026472031,1,78.083333,30.45,78.0407633,30.3207764,"tehsilchowk"
"1639","mataundh",25.6574162955743,1,80.15,25.45,80.12,25.68,"maduaha"
"1640","matheran",22.3834899996285,1,73.266667,18.983333,73.0652323,19.0480156,"paarl"
"1641","mathura",28.4077620272269,1,77.68,27.5,77.949593,27.5893062,"matu"
"1642","maudaha",0.498283516923225,1,80.116667,25.683333,80.12,25.68,"maduaha"
"1643","mauganj",50.2654216610674,1,81.883333,24.683333,81.4848785,24.9547532,"nagma"
"1644","maur",18.7892146529992,1,75.25,30.083333,75.0611147,30.1252438,"bhatindadistrict"
"1645","mauranipur",36.912184655538,1,79.13,25.24,79.4396622,25.0622533,"nowgong"
"1646","maurawan",25.5370250449842,1,80.883333,26.433333,81.0057537,26.2309515,"chehata"
"1647","mavelikara",33.0063826412378,1,76.55,9.266667,76.3577991,9.4960609,"neloura"
"1648","mayakonda",26.5694730444508,1,76.083333,14.283333,75.9238397,14.4663438,"davangeri"
"1649","mayangimphal",5.70554636237514,1,93.883333,24.616667,93.9062688,24.6637173,"mandipore"
"1650","mayangimphal",5.70554636237514,1,93.883333,24.616667,93.9062688,24.6637173,"manipurs"
"1651","mayangimphal",5.70554636237514,1,93.883333,24.616667,93.9062688,24.6637173,"manipore"
"1652","mayangimphal",5.70554636237514,1,93.883333,24.616667,93.9062688,24.6637173,"manipur"
"1653","mayiladuthurai",33.8805758381125,1,79.65,11.11,79.3834088,10.9536193,"koilamati"
