"","pop","country.etc","name","lat","long","capital","Region","largestC"
"57702",1342519,"mali","bamako",12.65,-7.99,"1",NA,1
"57701",1326975,"congorep","brazzaville",-4.25,15.26,"1",NA,1
"57700",1321432,"china","xianggangdao",22.27,114.14,"0",NA,0
"57699",1316218,"italy","milan",45.48,9.19,"0",NA,0
"57698",1306577,"zambia","lusaka",-15.42,28.29,"1",NA,1
"57697",1306343,"korearep","suwon",37.26,127.01,"0",NA,0
"57696",1303197,"jordan","'amman",31.95,35.93,"1",NA,1
"57695",1301768,"china","baotou",40.6,110.05,"0",NA,0
"57694",1300684,"korearep","koyang",37.7,126.93,"0",NA,0
"57693",1299352,"unitedstates","sandiego",32.81,-117.14,"0",NA,0
"57692",1287754,"indonesia","semarang",-6.97,110.42,"0",NA,0
"57691",1285879,"russianfederation","yekaterinburg",56.85,60.6,"0",NA,0
"57690",1279140,"iranislamicrep","shiraz",29.63,52.57,"0",NA,0
"57689",1278933,"india","kalyan",19.25,73.16,"0",NA,0
"57688",1278171,"unitedstates","sanantonio",29.46,-98.51,"0",NA,0
"57687",1277104,"haiti","port-au-prince",18.54,-72.34,"1",NA,1
"57686",1275318,"russianfederation","nizhniynovgorod",56.33,44,"0",NA,0
"57685",1273440,"lebanon","bayrut",33.88,35.5,"1",NA,1
"57684",1272179,"germany","munich",48.14,11.58,"0",NA,0
"57683",1271894,"turkey","adana",37,35.32,"0",NA,0
"57682",1271664,"uruguay","montevideo",-34.87,-56.17,"1",NA,1
"57681",1264968,"india","ghaziabad",28.66,77.41,"0",NA,0
"57680",1262757,"india","mirat",28.99,77.7,"0",NA,0
"57679",1260712,"sweden","stockholm",59.33,18.07,"1",NA,1
"57678",1253687,"pakistan","peshawar",34.01,71.54,"0",NA,0
"57677",1252010,"lebanon","beirut",33.8719444,35.5097222,"1","4",0
"57676",1249543,"indonesia","palembang",-2.99,104.75,"0",NA,0
"57675",1245382,"philippines","davao",7.11,125.63,"0",NA,0
"57674",1237157,"india","rajkot",22.31,70.79,"0",NA,0
"57673",1237028,"myanmar","mandalay",21.98,96.09,"0",NA,0
"57672",1231240,"china","xuzhou",34.27,117.18,"0",NA,0
"57671",1230816,"mexico","nezahualcoyotl",19.41,-99.03,"0",NA,0
"57670",1220167,"mozambique","maputo",-25.95,32.57,"1",NA,1
"57669",1216543,"unitedstates","dallas",32.79,-96.77,"0",NA,0
"57668",1216378,"kazakhstan","almaty",43.32,76.92,"0",NA,1
"57667",1203894,"china","anshan",41.12,122.95,"0",NA,0
"57666",1202136,"china","fuzhou",26.08,119.3,"3",NA,0
"57665",1198633,"brazil","guarulhos",-23.46,-46.49,"0",NA,0
"57664",1188787,"brazil","goiania",-16.72,-49.26,"0",NA,0
"57663",1183692,"china","guiyang",26.58,106.72,"3",NA,0
"57662",1182439,"unitedarabemirates","dubai",25.27,55.33,"0",NA,1
"57661",1179484,"india","varanasi",25.32,83.01,"0",NA,0
"57660",1177191,"nigeria","portharcourt",4.78,7,"0",NA,0
"57659",1176177,"argentina","rosario",-32.94,-60.67,"0",NA,0
"57658",1168374,"czechrepublic","prague",50.08,14.43,"1",NA,1
"57657",1166143,"bulgaria","sofia",42.69,23.31,"1",NA,1
"57656",1164634,"libya","tripoli",32.87,13.18,"1",NA,1
