"","name","DistKM","fake","long","lat.x","lon","lat.y","CityGTD"
"305","pinddadankhan",5.23667291456992,1,73.04,32.59,73.0117665,32.630728,"khawra"
"306","pindibhattian",31.1738435969262,1,73.27,31.9,73.5912965,31.9629282,"ghuriwala"
"307","pindibhattian",31.1738435969262,1,73.27,31.9,73.5912965,31.9629282,"ghoriwala"
"308","pindigheb",19.0903704767242,1,72.26,33.24,72.4627983,33.2643709,"khaur"
"309","pirjogoth",24.8954789379934,1,68.62,27.6,68.3778981,27.6630769,"phulpota"
"310","pirmahal",36.0329466228945,1,72.43,30.77,72.6387584,31.0406065,"anahht"
"311","pishin",1.64764389341626,1,66.98,30.59,66.9958226,30.5842128,"pishindistrict"
"312","pithoro",18.6454937476798,1,69.38,25.52,69.25,25.4,"dehgan"
"313","quetta",1.50041718742759,1,67.02,30.21,67.0150022,30.1971802,"wazirkilli"
"314","rabwah",27.5635357325518,1,72.82,31.83,72.7102791,32.0602981,"mirzai"
"315","radhan",22.4291570888555,1,67.95,27.18,67.915103,27.3799987,"naseerabad"
"316","rahimyarkhan",0.169086060282683,1,70.3,28.42,70.2988744,28.4211565,"rahminyarkhan"
"317","rajanpur",0.476881645749666,1,70.32,29.1,70.3244659,29.1017686,"rajanpurdistrict"
"318","rajokhanani",48.9975128616726,1,68.85,24.98,68.4869861,25.2739885,"nooriabad"
"319","ranipur",21.2709844185975,1,68.5,27.28,68.606599,27.1133723,"pahalwan"
"320","rasulnagar",20.2969497939408,1,73.78,32.32,73.9741874,32.3995933,"khanki"
"321","ratodero",14.5542084942302,1,68.29,27.81,68.3659739,27.6973888,"panjudero"
"322","rawalpindi",0.423135611516639,1,73.04,33.6,73.0441352,33.598394,"anahhlpindi"
"323","renalakhurd",9.13981436030509,1,73.6,30.88,73.6815807,30.9229809,"akhtarabad"
"324","risalpur",4.54348847062129,1,71.99,34.07,72.0301052,34.0937526,"barabanda"
"325","rohri",5.0688852556819,1,68.89,27.68,68.8481971,27.7066038,"sukkar"
