"","CityGTD","DistKM","fake","long","lat.x","name","X","lon","lat.y"
"215","westrand",7.25840917845663,1,27.39767,-26.36094,"johannesburg",1640,27.4556388,-26.3213939
"66","eljicaro",7.33301489651922,1,-88.63,13.88,"sensuntepeque",666,-88.65,13.816667
"119","lasirena",7.63071814367132,1,-86.36,13.09,"esteli",980,-86.3756867,13.1572388
"36","bophutatswana",7.69841278252708,1,27.24,-25.65,"rustenburg",1622,27.3021879,-25.6093705
"105","kilambe",7.80930218675064,1,-85.82,13.61,"wiwili",1448,-85.7794791,13.5515951
"170","sanantonio",7.85703692549494,1,-87.97,13.43,"sanalejo",674,-88.0289716,13.3886373
"120","laspalmas",7.85805489759786,1,-86.72,13.75,"santamaria",1453,-86.7096525,13.6796984
"155","panali",8.07036583818652,1,-86.04,13.57,"quilali",1460,-85.9847247,13.5210467
"89","ishaqi",8.13410943353742,1,44.15,34.02,"balad",247,44.0627452,34.0100968
"201","teotecacinte",8.24207709437551,1,-85.99,14.06,"trojes",716,-86.0644304,14.0435737
"190","southerncorsica",8.58292917486514,1,8.92096,42.00394,"peri",539,9.0128926,42.0396042
"64","elbluff",8.61879707730932,1,-83.77,12.01,"bluefields",969,-83.690885,12.012161
"94","kadiria",8.77739308613966,1,3.5933,36.56463,"lakhdaria",281,3.683333,36.533333
"122","limadelareina",8.83331176227734,1,-88.32,13.89,"magdalena",672,-88.3470047,13.8146463
"197","tagdempt",8.96353007262421,1,1.31699,35.37103,"tiaret",1208,1.2283566,35.3356113
"49","cotichiavari",9.36524372018983,1,8.84578,41.83618,"pietrosella",1303,8.771765,41.772597
"55","daveyton",9.5829654643315,1,28.33,-26.15,"johannesburg",596,28.425,-26.138611
"149","nuevoprogreso",9.92741226782082,1,-76.41,-8.42,"uchiza",743,-76.3246517,-8.4488985
"185","shurandam",10.0779499566791,1,65.71013,31.61332,"kandahar",1166,65.810333,31.583227
"20","aryobzazi",10.2304071963278,1,69.7,33.94,"alihayl",786,69.8061328,33.9661546
"168","safsaf",10.3956314718205,1,0.37,35.94,"ayntadalas",1200,0.3771895,35.8464922
"217","yingo",10.4078267695933,1,101.65,6.51,"bacho",1095,101.6840589,6.4222691
"123","loscedros",10.5032832774308,1,-86.50571,11.98009,"carlosfonsecaamador",981,-86.478172,12.0710853
"121","lawaan",10.5458223288057,1,125.3875,11.109722,"balangiga",1585,125.3,11.15
"38","bukardi",10.6203912375264,1,40.14,38.56,"aricak",1704,40.1750879,38.468384
"52","dasht",10.6290299734995,1,66.01,29.56,"nushki",310,66.075,29.4827778
"102","kfarhouneh",10.9871253883842,1,35.61,33.59,"beirut",1407,35.5897893,33.4923967
