"","CityGTD","DistKM","fake","long","lat.x","name","X","lon","lat.y"
"37","canolimon",10.9536961629372,1,-74.27,8.56,"tiquisio",854,-74.33309,8.48342
"59","dattykh",11.1665985014543,1,44.9875,43.088056,"galashki",1048,45.09973,43.030344
"69","elcorozo",11.2750046310538,1,-86.14,13.92,"jalapa",1445,-86.084168,14.0060939
"184","sarlahi",11.4352839262275,1,85.55,26.86,"malangwa",966,85.56121,26.9627141
"80","garohills",11.6067294827029,1,90.22,25.52,"tura",1337,90.333333,25.5
"42","chahardara",11.6659316819743,1,68.857,36.72895,"kunduz",273,68.8108849,36.6306054
"126","lakan",11.8703503413182,1,70.07,34.3,"hugyani",1147,70.1705556,34.2330556
"14","antioquiap",12.0125615236337,1,-75.4,7.29,"valdivia",346,-75.3412179,7.1986064
"102","janale",12.1926386128016,1,44.76,1.72,"marka",753,44.6935736,1.8076962
"53","coggia",12.2761906207584,1,8.76789,42.01454,"appietto",1302,8.7494,42.1242
"136","lundkhwar",12.4690844297254,1,71.93,34.28,"takhatbhai",1502,71.983333,34.383333
"113","kinawley",12.9517715279289,1,-7.58333,54.11667,"ballyconnell",1107,-7.65037,54.22618
"180","sanmartindepangoa",12.9738441051977,1,-74.57,-11.35,"mazamari",1562,-74.4848003,-11.4317888
"142","marawara",13.1709396079342,1,71.15,34.87,"asadabad",503,71.2755422,34.9282837
"200","tellippalai",13.648005605677,1,80.01,9.67,"jaffna",1669,80.0339312,9.7910875
"114","kiran",13.9382913727195,1,81.59,7.77,"eravur",388,81.5102655,7.8677797
"105","kapho",14.2885028289531,1,101.62,6.7,"saiburi",328,101.5475409,6.5930213
"3","abusaydah",14.3654356540835,1,44.92,33.97,"almiqdadiyah",443,44.7732994,33.9272709
"155","mutur",14.5168715183449,1,81.22,8.58,"trincomalee",325,81.2684019,8.4579065
"137","maelan",14.7047433040068,1,101.29,6.55,"yala",1694,101.2410442,6.6736281
"141","mancotal",15.0570797250976,1,-86.12,13.22,"sanrafaeldelnorte",1458,-85.982172,13.2370516
"13","andhrapradeshs",15.2091119033932,1,79.75,16.05,"vinukonda",905,79.7399875,15.9128998
"209","vadamarachchi",15.3346982866277,1,80.23,9.82,"pointpedro",1676,80.3,9.7
"107","katlang",15.480616156463,1,71.96656,34.25195,"noorabad",722,72.0734811,34.3596683
"82","ghanikhel",15.4860855971869,1,70.2,34.65,"mehtarlam",793,70.15,34.516667
"48","chonguene",16.0226135953674,1,33.64,-25.04,"xaixai",1424,33.7971594,-25.019535
"203","tinte",16.1554122219611,1,-78.15,-6.86,"celendin",1566,-78.2172222,-6.9897222
"175","riosanjuan",16.3036543332184,1,-84.9,11.4,"sanmiguelito",460,-84.7733325,11.478161
"45","chawkay",17.2150668997023,1,71.15,34.87,"asadabad",1129,70.9784562,34.8061587
"88","gujarat",17.5225724954847,1,71.183333,22.416667,"chotila",1338,71.1923805,22.258652
