"","merge","lng","lat","population"
"190","Kachnara, india","75.1084","23.84121","0"
"191","Kadian, india","75.37663","31.82198","21015"
"192","Kakotibari, india","95.02345","27.08992","0"
"193","Kalakuchi, india","92.62761","26.77107","0"
"194","Kaler, india","106.44444","-6.18222","0"
"195","Kalogreza, greece","23.76718","38.03826","0"
"196","Kamari, greece","22.58223","38.09276","885"
"197","Kampen, germany","8.82295","53.75538","0"
"198","Kampur, india","92.65128","26.18175","0"
"199","Kangpokpi, india","93.97167","25.15273","0"
"200","Karimnagar District, india","79.12856","18.43915","228745"
"201","Karnataka State, india","77.59369","12.97194","5104047"
"202","Karpi, india","84.72973","25.16126","0"
"203","Kebri-Dehar, ethiopia","44.27806","6.74","0"
"204","Kerala, india","76.94924","8.4855","784153"
"205","Keshpur, india","87.46109","22.55468","0"
"206","Keshwan Kishtwar, india","75.67992","33.30861","0"
"207","Kharad, india","72.01665","22.30966","0"
"208","Khati, india","79.93724","30.11187","0"
"209","Khejuri, india","86.30386","21.80504","0"
"210","Khera, india","76.59491","30.00475","0"
"211","Kilor, india","75.97733","32.74429","0"
"212","Kirbali, georgia","44.24299","42.11458","0"
"213","Klde, georgia","43.02623","41.67907","0"
"214","Kothur, india","76.22005","14.82442","24004"
"215","Kulangam, india","74.30296","34.41083","0"
"216","Kulian, india","74.35927","33.76293","0"
"217","Kumarpara, india","88.78333","22.35389","0"
"218","Kunwarpur, india","79.13572","26.75346","0"
"219","Kvemo Khviti, georgia","43.954","42.16511","0"
"220","Kvemo-Okona, georgia","43.77317","42.16918","0"
"221","Kvemo Sarabuki, georgia","44.03834","42.27375","0"
"222","Kwesimintim, ghana","-1.78761","4.91452","0"
"223","Labastide-Villefranche, france","-1.02095","43.45295","314"
"224","La Blanca, guatemala","-92.14137","14.57889","0"
"225","La Caoba, guatemala","-90.69387","16.06152","0"
"226","La Cumbre, guatemala","-90.21667","14.76667","0"
"227","Ladebow, germany","13.43658","54.10048","0"
"228","Lakhimpur District, india","80.78257","27.952","140223"
"229","Lakhimpur Kheri, india","80.78257","27.952","140223"
"230","Lalpura, india","80.04391","25.86341","0"
"231","La Lucha, guatemala","-92.06655","15.38808","0"
"232","Lammasingi, india","82.49226","17.81507","0"
"233","Lapri, india","81.57206","23.6272","0"
"234","Lapur, india","73.27689","29.41469","0"
"235","La Quebrada, honduras","-87.15","13.53333","0"
"236","Las Colmenas, guatemala","-89.23333","14.76667","0"
"237","Lasjan, india","74.86907","34.04339","0"
"238","La Vaccaja, france","8.75","42.55","0"
"239","Lavrion, greece","24.05647","37.71445","7078"
"240","Lecci, france","9.31572","41.68009","0"
"241","Legon, ghana","-0.18333","5.65","0"
"242","Levallois, france","2.28864","48.89389","62178"
"243","Lindos, greece","28.08571","36.09102","724"
"244","Logron, france","1.2649","48.14686","508"
"245","Lohara, india","81.05473","20.79189","0"
"246","Lokka, india","119.3388","-3.185","0"
"247","Los Achiotes, guatemala","-90.08806","13.98194","0"
"248","Lunghignano, france","8.88693","42.54181","0"
"249","Mackenrode, germany","10.5468","51.55125","0"
"250","Madar, india","74.65671","34.41561","0"
"251","Madhopur, india","76.34408","26.02301","108612"
"252","Madhya Pradesh State, india","77.40289","23.25469","1599914"
"253","Madya Pradesh, india","77.40289","23.25469","1599914"
"254","Mahadev, india","74.90139","32.88956","0"
"255","Maharashtra, india","72.88261","19.07283","12691836"
"256","Mahmudpur, india","79.25039","26.42327","0"
"257","Malla, india","119.247","-3.3113","0"
"258","Maman, india","117.4684","-8.6045","0"
"259","Manipur Imphal, india","93.9442","24.80805","223523"
"260","Mann, india","134.08333","-0.86667","53190"
"261","Margnac, france","1.31667","46","0"
"262","Marina de Pietracorbara, france","9.47813","42.83675","515"
"263","Marinca, france","9.32649","42.8483","0"
"264","Martissant, haiti","-72.35972","18.52806","0"
"265","Massadou, guinea","-10.2","9.3","0"
"266","Matapalo, honduras","-87.68333","14.06667","0"
"267","Matasano, guatemala","-89.4","14.85","0"
"268","Matu, india","76.26325","29.00747","0"
