"","eventid","iyear","country_txt","region_txt","pop.that.year","Rel.CS","inUC","aroundUC","Rank01.C","Rank01.W","capital","largestC","largest.UC","WC.UC.dist.km","TUPscale","PROPscale","HUMscale","Extra.WAR.In","Extra.WAR.Out","Intra.WAR","Inter.WAR","coast.dist","coast.dist.MIN","coast.dist.MAX","access","access.MAX","light","light.MAX","nldi","nldi.MAX","urbn.cover","city.gdp","gdp.MAX","density","density.MAX","density.growth","density.growth.MAX","EN.URB.MCTY.TL.ZS","SP.URB.TOTL.IN.ZS","EN.URB.LCTY.UR.ZS","latitude","longitude","WCUC.city.old","DV.Target.Urban","DV.Target.Crowded","DV.Target.Connected","DV.Target.Coastal"
"37343",200507240005,2005,"turkey","Middle East & North Africa",10513274,1,1,1,1,0.999837092971999,0,1,1,10.6970555938571,7,1,3,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1800,2197,0.285079365079365,0.41025641025641,32.4423617642736,67.783,22.8956215317593,41.1,29,"istanbul",0.822063492063492,0.748595022001138,0.98015873015873,0.982591876208897
"37342",200103160004,2001,"turkey","Middle East & North Africa",9036346,1,1,1,1,0.999818206173336,0,1,1,10.6970555938571,9,1,3,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1620,1975.4,0.329394387001477,0.461538461538462,29.9597270196736,65.332,21.5777847684534,41.1,29,"istanbul",0.822063492063492,0.754709903930923,0.98015873015873,0.982591876208897
"47702",201104220008,2011,"turkey","Middle East & North Africa",13122354,1,1,1,1,0.999855952060846,0,1,1,10.6970555938571,7,1,2,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,2077.76,2540.48,0.285079365079365,0.41025641025641,36.7672307277341,71.282,25.1976653788847,41.1,29,"istanbul",0.822063492063492,0.747732310461974,0.98015873015873,0.982591876208897
"47701",200908140009,2009,"turkey","Middle East & North Africa",12231596,1,1,1,1,0.999856040538984,0,1,1,10.6970555938571,2,1000,2,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1979.2,2418.6,0.285079365079365,0.41025641025641,35.3264254275763,70.141,24.478267675496,41.1,29,"istanbul",0.822063492063492,0.748010385885066,0.98015873015873,0.982591876208897
"47700",200812060034,2008,"turkey","Middle East & North Africa",11777944,1,1,1,1,0.999856110967222,0,1,1,10.6970555938571,7,1,2,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1934.4,2363.2,0.285079365079365,0.41025641025641,34.57517064491,69.562,24.0630081976018,41.1,29,"istanbul",0.822063492063492,0.748146265788058,0.98015873015873,0.982591876208897
"47540",200305200003,2003,"turkey","Middle East & North Africa",1130301,0.115965512281641,1,1,0.996285979572888,0.994819297876008,1,0,0,1.08339132920756,0,1000,2,0,0,0,0,176,0,517,6,504,63,63,0.536097831785677,0.981698041653633,41,87,104,158.2,2086.2,0.18978102189781,0.461538461538462,31.1541227237326,66.569,22.205261331024,39.93,32.85,"ankara",0.630562872963632,0.223465896818406,0.953182234432234,0.659574468085106
"47699",200101100004,2001,"turkey","Middle East & North Africa",9036346,1,1,1,1,0.999818206173336,0,1,1,10.6970555938571,9,1,2,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1620,1975.4,0.329394387001477,0.461538461538462,29.9597270196736,65.332,21.5777847684534,41.1,29,"istanbul",0.822063492063492,0.754709903930923,0.98015873015873,0.982591876208897
"47697",200011260005,2000,"turkey","Middle East & North Africa",8743868,1,1,1,1,0.999818247909851,0,1,1,10.6970555938571,7,1,2,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1575,1920,0.329394387001477,0.461538461538462,29.4671679386755,64.741,21.3787590900218,41.1,29,"istanbul",0.822063492063492,0.754845161347143,0.98015873015873,0.982591876208897
"47698",200011220004,2000,"turkey","Middle East & North Africa",8743868,1,1,1,1,0.999818247909851,0,1,1,10.6970555938571,9,1,2,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1575,1920,0.329394387001477,0.461538461538462,29.4671679386755,64.741,21.3787590900218,41.1,29,"istanbul",0.822063492063492,0.754845161347143,0.98015873015873,0.982591876208897
"47695",199907120002,1999,"turkey","Middle East & North Africa",8553323,1,1,1,1,0.999808742385556,0,1,1,10.6970555938571,7,1000,2,0,0,1,1,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1530.8,1865.6,0.37434554973822,0.509433962264151,29.1494512246758,64.223,21.3967757004647,41.1,29,"istanbul",0.822063492063492,0.761323429890737,0.98015873015873,0.982591876208897
"47696",199906020002,1999,"turkey","Middle East & North Africa",8553323,1,1,1,1,0.999808742385556,0,1,1,10.6970555938571,7,1000,2,0,0,1,1,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1530.8,1865.6,0.37434554973822,0.509433962264151,29.1494512246758,64.223,21.3967757004647,41.1,29,"istanbul",0.822063492063492,0.761323429890737,0.98015873015873,0.982591876208897
"47694",199811050002,1998,"turkey","Middle East & North Africa",8367184,1,1,1,1,0.999808808205952,0,1,1,10.6970555938571,9,1,2,0,0,1,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1486.6,1811.2,0.37434554973822,0.509433962264151,28.8461263683405,63.703,21.4240139556445,41.1,29,"istanbul",0.822063492063492,0.761468325914108,0.98015873015873,0.982591876208897
"68310",201111110019,2011,"turkey","Middle East & North Africa",181109,0.0138015489149454,0,0,0.968313140726934,0.967906119156455,0,0,1,84.4622502775299,0,1,1,0,0,0,0,4,0,517,32,504,55,63,0.653855689454076,0.981698041653633,0,38,104,428.64,2540.48,0.217391304347826,0.41025641025641,36.7672307277341,71.282,25.1976653788847,40.77,29.93,"izmit",0.463782640664438,0.326806366579788,0.77785409035409,0.992263056092843
