"","name","country.etc","pop","lat","long","capital","Region"
"37016","srinagar","india",996400,34.09,74.79,"0",NA
"82775","odesa","ukraine",995028,46.47,30.73,"0",NA
"42492","kitakyushu","japan",994767,33.88,130.86,"0",NA
"75341","portelizabeth","southafrica",992669,-33.96,25.59,"0",NA
"9318","calgary","canada",991432,51.05,-114.06,"0",NA
"52478","managua","nicaragua",990417,12.15,-86.27,"1",NA
"6848","maceio","brazil",989318,-9.65,-35.75,"0",NA
"83775","birmingham","unitedkingdom",986969,52.48,-1.91,"0",NA
"40694","naples","italy",983614,40.85,14.27,"0",NA
"50756","fez","morocco",983226,34.05,-5,"0",NA
"44753","ulsan","korearep",983199,35.55,129.31,"0",NA
"82086","donetsk","ukraine",980419,48,37.82,"0",NA
"36103","navimumbai","india",979458,19.11,73.06,"0",NA
"13177","cartagena","colombia",976761,10.4,-75.5,"0",NA
"70850","perm","russianfederation",976116,58,56.25,"0",NA
"73499","al-madinah","saudiarabia",975218,24.48,39.59,"0",NA
"29852","guatemalacity","guatemala",973208,14.621111,-90.526944,NA,"7"
"36580","ranchi","india",970602,23.36,85.33,"0",NA
"35519","koyampattur","india",968524,11.01,76.96,"0",NA
"11360","changzhou","china",963755,31.78,119.97,"0",NA
"38836","irbil","iraq",962936,36.19,44.02,"0",NA
"25148","cologne","germany",960974,50.95,6.97,"0",NA
"45130","monrovia","liberia",954458,6.31,-10.8,"1",NA
"47045","subangjaya","malaysia",954266,3.15,101.53,"0",NA
"7808","saogoncalo","brazil",949783,-22.84,-43.07,"0",NA
"34234","chandigarh","india",942769,30.75,76.78,"0",NA
"15135","kolwezi","congodemrep",940665,-10.7,25.66,"0",NA
"35107","jodhpur","india",940513,26.29,73.02,"0",NA
"46895","klang","malaysia",936664,3.04,101.45,"0",NA
"7872","saoluis","brazil",935083,-2.5,-44.3,"0",NA
"4453","cochabamba","bolivia",932871,-17.38,-66.17,"0",NA
"11682","huaibei","china",932185,33.95,116.75,"0",NA
"52637","aba","nigeria",931872,5.1,7.35,"0",NA
"41920","chiba","japan",926276,35.61,140.11,"0",NA
"34808","guwahati","india",923348,26.19,91.75,"0",NA
"44853","biskek","kyrgyzrepublic",915625,42.87,74.57,"1",NA
"69605","krasnoyarsk","russianfederation",906949,56.02,93.06,"0",NA
"35674","madurai","india",905649,9.92,78.12,"0",NA
"81138","konya","turkey",903797,37.88,32.48,"0",NA
"35720","maisuru","india",902986,12.31,76.65,"0",NA
"53140","ogbomosho","nigeria",902797,8.08,4.18,"0",NA
"89488","sanjose","unitedstates",897883,37.3,-121.85,"0",NA
"15165","mbuji-mayi","congodemrep",896435,-6.13,23.59,"0",NA
"34810","gwalior","india",895900,26.23,78.17,"0",NA
"12232","qiqihar","china",894833,47.35,124,"0",NA
"12174","pingdingshan","china",893814,33.73,113.3,"0",NA
"37355","vijayawada","india",886519,16.52,80.63,"0",NA
"10121","ottawa","canada",885542,45.42,-75.71,"1",NA
"847","mendoza","argentina",883827,-32.89,-68.83,"0",NA
"12486","wenzhou","china",873290,28.02,120.65,"0",NA
"41459","turin","italy",873123,45.08,7.68,"0",NA
"31571","tegucigalpa","honduras",872403,14.09,-87.22,"1",NA
"4472","elalto","bolivia",872211,-16.5,-68.17,"0",NA
"86552","detroit","unitedstates",871789,42.38,-83.1,"0",NA
"37971","padang","indonesia",869534,-0.95,100.35,"0",NA
"50714","ulaanbaatar","mongolia",862842,47.93,106.91,"1",NA
"71335","saratov","russianfederation",860796,51.57,46.03,"0",NA
"56759","arequipa","peru",859704,-16.39,-71.53,"0",NA
"50775","marrakesh","morocco",855592,31.63,-8,"0",NA
"34925","hubli","india",853730,15.36,75.13,"0",NA
"49320","naucalpan","mexico",847600,19.48,-99.23,"0",NA
"38340","ahvaz","iranislamicrep",841145,31.28,48.72,"0",NA
"44721","puchon","korearep",840243,37.48,126.77,"0",NA
"52996","jos","nigeria",839334,9.93,8.89,"0",NA
"46872","johorbahru","malaysia",838947,1.48,103.75,"0",NA
"72552","voronezh","russianfederation",837946,51.72,39.26,"0",NA
"9537","edmonton","canada",831979,53.57,-113.54,"0",NA
"52962","ilorin","nigeria",831676,8.5,4.53,"0",NA
"82542","lvov","ukraine",830000,49.840661,24.030451,NA,"15"
"6170","duquedecaxias","brazil",829012,-22.77,-43.31,"0",NA
"37485","bandarlampung","indonesia",828507,-5.44,105.27,"0",NA
"44375","mombasa","kenya",823500,-4.04,39.66,"0",NA
"81559","asgabat","turkmenistan",823013,37.95,58.38,"1",NA
"51133","kathmandu","nepal",822930,27.71,85.31,"1",NA
"54205","oslo","norway",821445,59.91,10.75,"1",NA
"90971","barquisimeto","venezuelarb",821253,10.05,-69.3,"0",NA
"74275","freetown","sierraleone",818709,8.49,-13.24,"1",NA
"4500","lapaz","bolivia",817032,-16.5,-68.15,"0",NA
"58511","cebu","philippines",814296,10.32,123.9,"0",NA
"35009","jalandhar","india",807409,31.33,75.57,"0",NA
"12127","nanning","china",805718,22.82,108.32,"3",NA
"76754","valencia","spain",803438,39.48,-0.39,"0",NA
"53330","niamey","niger",801297,13.52,2.12,"1",NA
"36803","selam","india",801137,11.67,78.16,"0",NA
"72985","kigali","rwanda",800003,-1.94,30.06,"1",NA
"78622","hims","syrianarabrepublic",798781,34.73,36.72,"0",NA
"75331","pietermaritzburg","southafrica",797759,-29.61,30.39,"0",NA
"54984","islamabad","pakistan",794431,33.72,73.06,"1",NA
"34079","bhubaneswar","india",794039,20.27,85.84,"0",NA
"37143","thiruvananthapuram","india",793841,8.51,76.95,"0",NA
"73442","ad-dammam","saudiarabia",793553,26.43,50.1,"0",NA
"23150","marseille","france",793352,43.31,5.37,"0",NA
"80574","antalya","turkey",792373,36.89,30.71,"0",NA
"931","tucuman","argentina",792365,-26.83,-65.22,"0",NA
"11251","anyang","china",792081,36.08,114.35,"0",NA
"83509","zaporizhzhya","ukraine",791626,47.85,35.17,"0",NA
"12393","taian","china",787375,36.2,117.12,"0",NA
"37543","bogor","indonesia",785354,-6.58,106.79,"0",NA
"11668","hohhot","china",783645,40.82,111.64,"3",NA
"37172","tiruchchirappalli","india",782442,10.81,78.69,"0",NA
"35494","kota","india",780296,25.18,75.83,"0",NA
"12224","qinhuangdao","china",777519,39.93,119.62,"0",NA
"33557","aligarh","india",775694,27.89,78.06,"0",NA
"7071","natal","brazil",774336,-5.8,-35.22,"0",NA
"12004","liuzhou","china",772579,24.28,109.25,"0",NA
"53195","oyo","nigeria",771729,7.83,3.92,"0",NA
"87521","indianapolis","unitedstates",771725,39.78,-86.15,"0",NA
"12583","xining","china",770872,36.62,101.77,"3",NA
"91007","ciudadguayana","venezuelarb",769243,8.37,-62.62,"0",NA
"57235","trujillo","peru",768267,-8.11,-79.03,"0",NA
"38535","kermanshah","iranislamicrep",765075,34.38,47.06,"0",NA
"62360","lodz","poland",762615,51.77,19.46,"0",NA
"11659","hengyang","china",761888,26.89,112.62,"0",NA
"55297","quetta","pakistan",759894,30.21,67.02,"0",NA
"8069","teresina","brazil",758666,-5.1,-42.8,"0",NA
"33894","bareli","india",756432,28.36,79.41,"0",NA
"7775","saobernardodocampo","brazil",756260,-23.71,-46.54,"0",NA
"62108","cracow","poland",753829,50.06,19.96,"0",NA
"11646","hegang","china",753760,47.4,130.37,"0",NA
"37891","malang","indonesia",749593,-7.98,112.62,"0",NA
"38817","as-sulaymaniyah","iraq",748150,35.55,45.45,"0",NA
"12597","xinxiang","china",747060,35.32,113.87,"0",NA
"5834","campogrande","brazil",745017,-20.45,-54.63,"0",NA
"51191","amsterdam","netherlands",744159,52.37,4.89,"1",NA
"35909","moradabad","india",742090,28.84,78.76,"0",NA
"13338","cucuta","colombia",740957,7.88,-72.51,"0",NA
"12664","yantai","china",740249,37.53,121.4,"0",NA
"35881","mirabhayandar","india",740038,19.29,72.85,"0",NA
"45020","riga","latvia",738386,56.97,24.13,"1",NA
"80163","lome","togo",737751,6.17,1.35,"1",NA
"4956","sarajevo","bosniaandherzegovina",737350,43.85,18.38,"1",NA
"11000","n'djamena","chad",737281,12.11,15.05,"1",NA
"34067","bhiwandi","india",736978,19.3,73.05,"0",NA
"78807","tainan","china",735787,23,120.19,"0",NA
"39293","jerusalem","israel",731731,31.78,35.22,"1",NA
"47664","nouakchott","mauritania",731242,18.09,-15.98,"1",NA
"6642","jaboatao","brazil",729890,-8.11,-35.02,"0",NA
"44658","chonju","korearep",729337,35.83,127.14,"0",NA
"49218","merida","mexico",728271,20.97,-89.62,"0",NA
"12153","ningbo","china",726201,29.88,121.55,"0",NA
